BusinessEntityID,TotalPurchaseYTD,DateFirstPurchase,BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned
11,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
12,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
13,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
14,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
15,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
16,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
17,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
18,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
19,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
20,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
21,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
22,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
23,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
24,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
25,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
26,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
27,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
28,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
29,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
30,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
31,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
32,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
33,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
34,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
35,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
36,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
37,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
38,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
39,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
40,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
41,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
42,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
10,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
9,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
8,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
7,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
6,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
5,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
4,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
3,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
2,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
1,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
43,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
44,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
45,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
46,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
47,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
48,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
49,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
50,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
51,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
52,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
53,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
54,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
55,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
56,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
57,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
58,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
59,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
60,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
61,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
62,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
63,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
64,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
65,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
66,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
67,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
68,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
69,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
70,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
71,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
72,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
73,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
74,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
75,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
76,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
77,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
78,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
79,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
80,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
81,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
82,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
83,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
84,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
85,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
86,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
87,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
88,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
89,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
90,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
91,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
92,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
93,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
94,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
95,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
96,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
97,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
98,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
99,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
100,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
101,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
102,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
103,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
104,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
105,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
106,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
107,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
108,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
109,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
110,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
111,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
112,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
113,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
114,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
115,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
116,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
117,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
118,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
119,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
120,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
121,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
122,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
123,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
124,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
125,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
126,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
127,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
128,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
129,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
130,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
131,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
132,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
133,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
134,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
135,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
136,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
137,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
138,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
139,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
140,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
141,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
142,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
143,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
144,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
145,"0,00 €",null,null,null,null,null,null,null,null,null,null,null
