BusinessEntityID,Title,FirstName,MiddleName,LastName,Suffix,JobTitle,PhoneNumber,PhoneNumberType,EmailAddress,EmailPromotion,AddressLine1,AddressLine2,City,StateProvinceName,PostalCode,CountryRegionName,TerritoryName,TerritoryGroup,SalesQuota,SalesYTD,SalesLastYear
274,null,Stephen,Y,Jiang,null,North American Sales Manager,238-555-0197,Cell,stephen0@adventure-works.com,0,2427 Notre Dame Ave.,null,Redmond,Washington,98052,United States,null,null,null,"559.697,56 €","0,00 €"
275,null,Michael,G,Blythe,null,Sales Representative,257-555-0154,Cell,michael9@adventure-works.com,1,8154 Via Mexico,null,Detroit,Michigan,48226,United States,Northeast,North America,"300.000,00 €","3.763.178,18 €","1.750.406,48 €"
276,null,Linda,C,Mitchell,null,Sales Representative,883-555-0116,Work,linda3@adventure-works.com,0,2487 Riverside Drive,null,Nevada,Utah,84407,United States,Southwest,North America,"250.000,00 €","4.251.368,55 €","1.439.156,03 €"
277,null,Jillian,null,Carson,null,Sales Representative,517-555-0117,Work,jillian0@adventure-works.com,1,80 Sunview Terrace,null,Duluth,Minnesota,55802,United States,Central,North America,"250.000,00 €","3.189.418,37 €","1.997.186,20 €"
278,null,Garrett,R,Vargas,null,Sales Representative,922-555-0165,Work,garrett1@adventure-works.com,0,10203 Acorn Avenue,null,Calgary,Alberta,T2P 2G8,Canada,Canada,North America,"250.000,00 €","1.453.719,47 €","1.620.276,90 €"
279,null,Tsvi,Michael,Reiter,null,Sales Representative,664-555-0112,Work,tsvi0@adventure-works.com,1,8291 Crossbow Way,null,Memphis,Tennessee,38103,United States,Southeast,North America,"300.000,00 €","2.315.185,61 €","1.849.640,94 €"
280,null,Pamela,O,Ansman-Wolfe,null,Sales Representative,340-555-0193,Cell,pamela0@adventure-works.com,1,636 Vine Hill Way,null,Portland,Oregon,97205,United States,Northwest,North America,"250.000,00 €","1.352.577,13 €","1.927.059,18 €"
281,null,Shu,K,Ito,null,Sales Representative,330-555-0120,Cell,shu0@adventure-works.com,2,5725 Glaze Drive,null,San Francisco,California,94109,United States,Southwest,North America,"250.000,00 €","2.458.535,62 €","2.073.506,00 €"
282,null,José,Edvaldo,Saraiva,null,Sales Representative,185-555-0169,Work,josé1@adventure-works.com,0,9100 Sheppard Avenue North,null,Ottawa,Ontario,K4B 1T7,Canada,Canada,North America,"250.000,00 €","2.604.540,72 €","2.038.234,65 €"
283,null,David,R,Campbell,null,Sales Representative,740-555-0182,Work,david8@adventure-works.com,0,2284 Azalea Avenue,null,Bellevue,Washington,98004,United States,Northwest,North America,"250.000,00 €","1.573.012,94 €","1.371.635,32 €"
284,Mr.,Tete,A,Mensa-Annan,null,Sales Representative,615-555-0153,Work,tete0@adventure-works.com,1,3997 Via De Luna,null,Cambridge,Massachusetts,02139,United States,Northwest,North America,"300.000,00 €","1.576.562,20 €","0,00 €"
285,Mr.,Syed,E,Abbas,null,Pacific Sales Manager,926-555-0182,Work,syed0@adventure-works.com,0,7484 Roundtree Drive,null,Bothell,Washington,98011,United States,null,null,null,"172.524,45 €","0,00 €"
286,null,Lynn,N,Tsoflias,null,Sales Representative,1 (11) 500 555-0190,Cell,lynn0@adventure-works.com,2,34 Waterloo Road,null,Melbourne,Victoria,3000,Australia,Australia,Pacific,"250.000,00 €","1.421.810,92 €","2.278.548,98 €"
287,null,Amy,E,Alberts,null,European Sales Manager,775-555-0164,Work,amy0@adventure-works.com,1,5009 Orange Street,null,Renton,Washington,98055,United States,null,null,null,"519.905,93 €","0,00 €"
288,null,Rachel,B,Valdez,null,Sales Representative,1 (11) 500 555-0140,Cell,rachel0@adventure-works.com,0,Pascalstr 951,null,Berlin,Hamburg,14111,Germany,Germany,Europe,"250.000,00 €","1.827.066,71 €","1.307.949,79 €"
289,null,Jae,B,Pak,null,Sales Representative,1 (11) 500 555-0145,Work,jae0@adventure-works.com,0,Downshire Way,null,Cambridge,England,BA5 3HX,United Kingdom,United Kingdom,Europe,"250.000,00 €","4.116.871,23 €","1.635.823,40 €"
290,null,Ranjit,R,Varkey Chudukatil,null,Sales Representative,1 (11) 500 555-0117,Cell,ranjit0@adventure-works.com,0,"94, rue Descartes",null,Bordeaux,Gironde,33000,France,France,Europe,"250.000,00 €","3.121.616,32 €","2.396.539,76 €"
