BusinessEntityID,Name,ContactType,Title,FirstName,MiddleName,LastName,Suffix,PhoneNumber,PhoneNumberType,EmailAddress,EmailPromotion
292,Next-Door Bike Store,Owner,Mr.,Gustavo,null,Achong,null,398-555-0132,Cell,gustavo0@adventure-works.com,2
294,Professional Sales and Service,Owner,Ms.,Catherine,R.,Abel,null,747-555-0171,Cell,catherine0@adventure-works.com,1
296,Riders Company,Owner,Ms.,Kim,null,Abercrombie,null,334-555-0137,Work,kim2@adventure-works.com,0
298,The Bike Mechanics,Owner,Sr.,Humberto,null,Acevedo,null,599-555-0127,Cell,humberto0@adventure-works.com,2
300,Nationwide Supply,Owner,Sra.,Pilar,null,Ackerman,null,1 (11) 500 555-0132,Cell,pilar1@adventure-works.com,0
302,Area Bike Accessories,Owner,Ms.,Frances,B.,Adams,null,991-555-0183,Work,frances0@adventure-works.com,1
304,Bicycle Accessories and Kits,Owner,Ms.,Margaret,J.,Smith,null,959-555-0151,Cell,margaret0@adventure-works.com,0
306,Clamps & Brackets Co.,Owner,Ms.,Carla,J.,Adams,null,107-555-0138,Cell,carla0@adventure-works.com,0
316,Fun Toys and Bikes,Owner,Mr.,Robert,E.,Ahlering,null,678-555-0175,Cell,robert1@adventure-works.com,0
318,Great Bikes ,Owner,Mr.,François,null,Ferrier,null,571-555-0128,Cell,françois1@adventure-works.com,1
320,Metropolitan Sales and Rental,Owner,Ms.,Kim,null,Akers,null,440-555-0166,Cell,kim3@adventure-works.com,2
322,Irregulars Outlet,Owner,Ms.,Lili,J.,Alameda,null,1 (11) 500 555-0150,Cell,lili0@adventure-works.com,1
324,Valley Toy Store,Owner,Ms.,Amy,E.,Alberts,null,727-555-0115,Work,amy1@adventure-works.com,1
326,Worthwhile Activity Store,Owner,Ms.,Anna,A.,Albright,null,197-555-0143,Work,anna0@adventure-works.com,1
332,Family's Favorite Bike Shop,Owner,Mr.,Gregory,F.,Alderson,null,968-555-0153,Work,gregory0@adventure-works.com,0
334,Global Plaza,Owner,Mr.,J. Phillip,L.,Alexander,null,845-555-0187,Cell,jphillip0@adventure-works.com,1
336,Imported and Domestic Cycles,Owner,Ms.,Michelle,null,Alexander,null,115-555-0175,Work,michelle0@adventure-works.com,2
342,Mountain Toy Store,Owner,Mr.,Marvin,N.,Allen,null,447-555-0110,Cell,marvin0@adventure-works.com,0
344,Retail Sales and Service,Owner,Mr.,Michael,null,Allen,null,607-555-0193,Cell,michael10@adventure-works.com,2
350,Twin Cycles,Owner,Ms.,Sandra,J.,Altamirano,null,1 (11) 500 555-0190,Cell,sandra1@adventure-works.com,0
352,Tiny Bike Boutique,Owner,Ms.,Selena,R.,Alvarado,null,781-555-0199,Cell,selena0@adventure-works.com,0
370,Resale Services,Owner,Mr.,Thomas,B.,Armstrong,Jr.,226-555-0146,Cell,thomas1@adventure-works.com,0
372,The Gear Store,Owner,Mr.,John,null,Arthur,null,149-555-0113,Cell,john6@adventure-works.com,0
382,Work and Play Association,Owner,Mr.,Stephen,M.,Ayers,null,818-555-0171,Work,stephen1@adventure-works.com,0
384,Seaside Bike Works,Owner,Mr.,Phillip,M.,Bacalzo,null,1 (11) 500 555-0187,Work,phillip0@adventure-works.com,0
386,Nice Bikes,Owner,Mr.,Daniel,null,Blanco,null,221-555-0167,Cell,daniel0@adventure-works.com,0
394,Blue-Ribbon Bike Company,Owner,Ms.,Jennifer,B.,Bales,null,790-555-0112,Work,jennifer0@adventure-works.com,1
396,Flawless Bike Shop,Owner,Mr.,Alberto,F.,Baltazar,null,780-555-0114,Work,alberto0@adventure-works.com,0
398,Grand Bicycle Stores,Owner,Mr.,Wayne,N.,Banack,null,640-555-0189,Cell,wayne0@adventure-works.com,2
406,Kickstand Sellers,Owner,Mr.,Robert,L.,Barker,null,241-555-0112,Cell,robert3@adventure-works.com,0
408,Nearest Bike Store,Owner,Ms.,Rebecca,R.,Barley,null,1 (11) 500 555-0151,Work,rebecca1@adventure-works.com,2
416,Teen Discount Store,Owner,Ms.,Norma,N.,Barrera,null,1 (11) 500 555-0187,Cell,norma0@adventure-works.com,2
418,Transportation Options,Owner,null,Gytis,M,Barzdukas,null,257-555-0119,Work,gytis0@adventure-works.com,0
430,Center Cycle Shop,Owner,Mr.,John,A.,Beaver,null,521-555-0195,Work,john8@adventure-works.com,0
432,Bulk Discount Store,Owner,Mr.,Christopher,R.,Beck,Jr.,1 (11) 500 555-0132,Cell,christopher1@adventure-works.com,0
434,Country Parts Shop,Owner,Mr.,Bradley,null,Beck,null,1 (11) 500 555-0127,Work,bradley0@adventure-works.com,1
436,Second Bike Shop,Owner,Mr.,Benjamin,J.,Becker,null,1 (11) 500 555-0140,Cell,benjamin1@adventure-works.com,0
438,First-Rate Outlet,Owner,Ms.,Ann,null,Beebe,null,277-555-0169,Cell,ann0@adventure-works.com,0
440,Juvenile Sports Equipment,Owner,Mr.,Shane,J.,Belli,null,843-555-0175,Cell,shane1@adventure-works.com,1
442,Another Bicycle Company,Owner,Mr.,Stanley,A.,Alan,Jr.,156-555-0126,Cell,stanley0@adventure-works.com,0
444,Fourth Bike Store,Owner,Mr.,Mason,null,Bendixen,null,608-555-0114,Work,mason0@adventure-works.com,0
446,Rodeway Bike Store,Owner,Mr.,John,M.,Bennetts,null,1 (11) 500 555-0163,Work,john9@adventure-works.com,0
490,Commuter Bicycle Store,Owner,Ms.,Jackie,E.,Blackwell,null,972-555-0163,Cell,jackie0@adventure-works.com,1
492,Coalition Bike Company,Owner,Mr.,Donald,L.,Blanton,null,357-555-0161,Cell,donald0@adventure-works.com,0
494,Travel Systems,Owner,Ms.,Linda,E.,Burnett,null,121-555-0121,Work,linda4@adventure-works.com,2
508,Atypical Bike Company,Owner,Ms.,Stephanie,null,Bourne,null,1 (11) 500 555-0122,Cell,stephanie1@adventure-works.com,0
510,Bikes for Two,Owner,Mr.,Eli,null,Bowen,null,371-555-0143,Cell,eli0@adventure-works.com,1
516,Initial Bike Company,Owner,Mr.,Cornelius,L.,Brandon,null,229-555-0114,Work,cornelius0@adventure-works.com,0
518,Latest Sports Equipment,Owner,Mr.,Richard,null,Bready,null,340-555-0131,Work,richard1@adventure-works.com,0
520,Modern Bike Store,Owner,Ms.,Sara,N.,Breer,null,545-555-0183,Work,sara0@adventure-works.com,0
530,Outdoor Distributors,Owner,Ms.,Silvia,M.,Walker,null,961-555-0100,Work,silvia0@adventure-works.com,1
532,North Bike Company,Owner,Ms.,Deb,null,Waldal,null,748-555-0100,Work,deb0@adventure-works.com,0
546,Client Discount Store,Owner,Ms.,Mary,K.,Browning,null,658-555-0146,Work,mary5@adventure-works.com,1
548,Eastside Sporting Goods,Owner,Mr.,Dave,P.,Browning,null,428-555-0162,Work,dave0@adventure-works.com,0
550,Helmets and Cycles,Owner,Ms.,Bridget,E.,Browqett,null,1 (11) 500 555-0122,Work,bridget0@adventure-works.com,1
566,Courteous Bicycle Specialists,Owner,Sra.,Janaina Barreiro Gambaro,null,Bueno,null,476-555-0184,Cell,janainabarreirogambaro0@adventure-works.com,1
