ProspectiveBuyerKey,ProspectAlternateKey,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,City,StateProvinceCode,PostalCode,Phone,Salutation,Unknown
1,21596444800,Adam,null,Alexander,30.12.1945 0:00:00,M,M,aalexander@lucernepublishing.com,"40 000,00 ₽",3,0,Partial Co,Professional,1,2,566 S. Main,null,Cedar City,UT,84720,516-555-0187,Mr.,0
2,3003,Adrienne,null,Alonso,06.03.1950 0:00:00,M,F,aalonso@alpineskihouse.com,"80 000,00 ₽",4,0,Bachelors,Management,1,2,7264 St. Peter Court,null,Colma,CA,94014,607-555-0119,Ms.,4
3,1077,Alfredo,B,Alvarez,30.03.1964 0:00:00,S,M,aalvarez@fineartschool.net,"130 000,00 ₽",3,4,Partial Co,Professional,1,4,8850 Via Del Sol,null,Lynnwood,WA,98036,1 (11) 500 555-0143,Mr.,1
4,4779,Arthur,A,Arun,22.03.1985 0:00:00,S,M,aarun@adventure-works.com,"50 000,00 ₽",0,0,Partial Co,Skilled Manual,1,2,7515 Royal Oak Rd.,null,Chula Vista,CA,91910,403-555-0186,Mr.,4
5,38032399400,Andrea,M,Bailey,26.04.1965 0:00:00,M,F,abailey@lucernepublishing.com,"10 000,00 ₽",2,0,Partial Co,Manual,1,0,2500 North Stemmons Freeway,null,Dallas,TX,75201,1 (11) 500 555-0113,Ms.,4
6,67701756358,Angel,C,Bell,12.10.1983 0:00:00,S,M,abell@thephone-company.com,"50 000,00 ₽",0,0,High Schoo,Professional,0,2,840 Charlotte Ave.,null,Puyallup,WA,98371,516-555-0185,Mr.,1
7,14496465921,Anna,S,Bennett,04.09.1979 0:00:00,M,F,abennett@alpineskihouse.com,"50 000,00 ₽",1,1,Bachelors,Skilled Manual,1,0,312 Via Del Verdes,null,Colma,CA,94014,433-555-0112,Ms.,4
8,96338913440,Alyssa,L,Bennett,12.01.1963 0:00:00,M,F,abennett@cpandl.com,"40 000,00 ₽",3,0,Partial Co,Skilled Manual,1,2,25136 Jefferson Blvd.,null,Culver City,CA,90232,1 (11) 500 555-0160,Ms.,4
9,467,Arturo,J,Bhat,13.03.1976 0:00:00,M,M,abhat@adatum.com,"90 000,00 ₽",0,0,Bachelors,Professional,1,0,7040 Isabel Dr.,null,Beverly Hills,CA,90210,1 (11) 500 555-0199,Mr.,4
10,53313373327,Abigail,null,Brown,02.09.1955 0:00:00,M,F,abrown@treyresearch.net,"40 000,00 ₽",5,0,High Schoo,Professional,0,3,4710 Northridge Drive,null,Port Orchard,WA,98366,155-555-0188,Ms.,1
